"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code","direction","position"
"EE350","4426","DEN HAAG / LA CITÉ",NULL,"45.440898000","-75.627456000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE355","0472","DEN HAAG / MERGANSER",NULL,"45.439604000","-75.631298000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE360","3583","DEN HAAG / BATHGATE PARK",NULL,"45.441723000","-75.623856000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE365","0473","DEN HAAG / BOREALIS",NULL,"45.440836000","-75.633579000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE370","1582","DEN HAAG / PARC BATHGATE",NULL,"45.441231000","-75.625188000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE375","0474","DEN HAAG / CARWOOD",NULL,"45.442193000","-75.634441000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE381","8631","BATHGATE / DEN HAAG",NULL,"45.441599000","-75.622715000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE385","0475","DEN HAAG / MONTRÉAL",NULL,"45.444146000","-75.635753000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE390","4675","BATHGATE / DEN HAAG",NULL,"45.441439000","-75.622858000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE400","4430","BATHGATE / PLUMBER",NULL,"45.440083000","-75.622049000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE410","8632","BATHGATE / PLUMBER",NULL,"45.440244000","-75.621944000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE440","8828","BATHGATE / MATHESON",NULL,"45.436657000","-75.620069000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE450","8826","BATHGATE / MATHESON",NULL,"45.436574000","-75.619764000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE460","4431","BATHGATE / RAINBOW",NULL,"45.434975000","-75.619060000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE470","4432","BATHGATE / RAINBOW",NULL,"45.434883000","-75.618768000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE480","4433","BATHGATE / OGILVIE",NULL,"45.432223000","-75.618042000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE490","8525","PLUMBER / CLOSSE",NULL,"45.438879000","-75.624713000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE500","8523","PLUMBER / CLOSSE",NULL,"45.438665000","-75.624934000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE510","4436","CHARLTON / PLUMBER",NULL,"45.437479000","-75.627496000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE520","4434","CHARLTON / PLUMBER",NULL,"45.437272000","-75.627588000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE530","4435","CHARLTON / ALLOWAY",NULL,"45.436693000","-75.627112000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE540","4437","CHARLTON / ALLOWAY",NULL,"45.436628000","-75.626806000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE550","8526","CHARLTON / MATHESON",NULL,"45.434848000","-75.625951000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE555","3316","MATHESON / CHARLTON",NULL,"45.434881000","-75.625567000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE570","4439","MATHESON / ALBORO",NULL,"45.435602000","-75.623332000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
