affected_route,destination,route_short_name,dst_stop_lat,dst_stop_lon
63 Innovation,INNOVATION,63,45.343064,-75.932125
63 Kanata,LEGGET/TERRY FOX,63,45.34484,-75.930629
63 Tunneyâ€™s Pasture,TUNNEYâ€™S PASTURE,63,45.40388,-75.736653
63 Tunney's Pasture,TUNNEY'S PASTURE,63,45.40388,-75.736653
63 Tunney's Pasture,TUNNEY'S PASTURE,63,45.40388,-75.736653
63 Tunney's Pasture,TUNNEY'S PASTURE,63,45.40388,-75.736653
64 Innovation,INNOVATION,64,45.343064,-75.932125
64 Innovation,INNOVATION,64,45.343064,-75.932125
64 Innovation,INNOVATION,64,45.342845,-75.931803
64 Innovation,INNOVATION,64,45.342845,-75.931803
64 Morgan's Grant/Innovation,INNOVATION,64,45.343064,-75.932125
64 Tunneyâ€™s Pasture,TUNNEYâ€™S PASTURE,64,45.403498,-75.73618
64 Tunney's Pasture,TUNNEY'S PASTURE,64,45.403498,-75.73618
64 Tunney's Pasture,TUNNEY'S PASTURE,64,45.403498,-75.73618
66 Gatineau,SOLANDT LOOP,66,45.347797,-75.912322
66 Gatineau,TUNNEYâ€™S PASTURE,66,45.40388,-75.736653
66 Gatineau,TUNNEYâ€™S PASTURE,66,45.40388,-75.736653
66 Kanata,SOLANDT LOOP,66,45.347797,-75.912322
66 Kanata,SOLANDT LOOP,66,45.347797,-75.912322
66 Kanata,SOLANDT LOOP,66,45.347797,-75.912322
66 Kanata-Solandt,SOLANDT LOOP,66,45.347797,-75.912322
66 Tunney's Pasture,TUNNEY'S PASTURE,66,45.40388,-75.736653
66 Tunney's Pasture,TUNNEY'S PASTURE,66,45.40388,-75.736653
7 Carleton,CARLETON U,7,45.384981,-75.6965
7 Carleton,RIDEAU,7,45.43026,-75.681948
7 Carleton,CARLETON U,7,45.384981,-75.6965
7 Carleton,RIDEAU,7,45.426473,-75.691159
7 Carleton,CARLETON U,7,45.384981,-75.6965
7 Parliament,PARLIAMENT,7,45.421372,-75.698937
7 Parliament,PARLIAMENT,7,45.421372,-75.698937
7 Parliament,ST-LAURENT,7,45.420526,-75.637881
7 Rideau,RIDEAU,7,45.425834,-75.692574
7 St Laurent,BRITTANY/MONTREAL,7,45.443705,-75.642854
7 St. Laurent,ST-LAURENT,7,45.420526,-75.637881
7 St-Laurent,ST-LAURENT,7,45.420526,-75.637881
