id,route_id,direction_id,stop_id,order
6135,92,1,AG900,47
6283,93,1,AG900,65
6335,96,0,AG900,47
6444,97,1,AG900,11
6529,98,1,AG900,37
6608,99,1,AG900,39
8537,190,1,AG900,10
8686,199,1,AG900,30
10860,290,1,AG900,28
10894,291,0,AG900,31
10975,294,0,AG900,40
11076,299,0,AG900,52
11938,613,0,AG900,5
450,10,1,AG910,4
2656,40,0,AG910,4
3161,48,0,AG910,4
3236,49,0,AG910,4
5732,88,1,AG910,4
5920,90,0,AG910,4
6084,92,0,AG910,45
6214,93,0,AG910,76
6346,96,1,AG910,4
6416,97,0,AG910,14
6458,98,0,AG910,4
6536,99,0,AG910,4
8511,190,0,AG910,4
8626,199,0,AG910,4
10804,290,0,AG910,4
10901,291,1,AG910,4
10982,294,1,AG910,4
11083,299,1,AG910,4
11774,609,1,AG910,14
442,10,0,AG920,26
2781,40,1,AG920,64
3227,48,1,AG920,33
5719,88,0,AG920,83
6025,90,1,AG920,46
6134,92,1,AG920,46
6282,93,1,AG920,64
6334,96,0,AG920,46
6443,97,1,AG920,10
6528,98,1,AG920,36
6607,99,1,AG920,38
8536,190,1,AG920,9
8685,199,1,AG920,29
10859,290,1,AG920,27
10893,291,0,AG920,30
10974,294,0,AG920,39
11075,299,0,AG920,51
451,10,1,AG930,5
2657,40,0,AG930,5
3162,48,0,AG930,5
5733,88,1,AG930,5
5921,90,0,AG930,5
6085,92,0,AG930,46
6215,93,0,AG930,77
6347,96,1,AG930,5
6417,97,0,AG930,15
6459,98,0,AG930,5
6537,99,0,AG930,5
8512,190,0,AG930,5
8627,199,0,AG930,5
10805,290,0,AG930,5
10902,291,1,AG930,5
10983,294,1,AG930,5
11084,299,1,AG930,5
3269,49,1,AG940,16
3238,49,0,AG950,6
2898,44,1,AH010,5
5971,90,0,AH010,55
6072,92,0,AH010,33
10907,291,1,AH010,10
2889,44,0,AH020,36
6037,90,1,AH020,58
6097,92,1,AH020,9
10887,291,0,AH020,24
2899,44,1,AH030,6
5972,90,0,AH030,56
6073,92,0,AH030,34
10908,291,1,AH030,11
2888,44,0,AH040,35
6036,90,1,AH040,57
6096,92,1,AH040,8
10886,291,0,AH040,23
2900,44,1,AH050,7
5973,90,0,AH050,57
6074,92,0,AH050,35
10909,291,1,AH050,12
2887,44,0,AH060,34
6035,90,1,AH060,56
6095,92,1,AH060,7
10885,291,0,AH060,22
2901,44,1,AH090,8
5974,90,0,AH090,58
6075,92,0,AH090,36
10910,291,1,AH090,13
2902,44,1,AH095,9
10911,291,1,AH095,14
14017,689,0,AH095,44
2877,44,0,AH110,24
2983,46,0,AH110,17
10875,291,0,AH110,12
2878,44,0,AH115,25
2984,46,0,AH115,18
10876,291,0,AH115,13
2911,44,1,AH120,18
3056,46,1,AH120,37
7128,140,1,AH120,7
10920,291,1,AH120,23
2910,44,1,AH125,17
3055,46,1,AH125,36
7127,140,1,AH125,6
10919,291,1,AH125,22
2985,46,0,AH130,19
14025,689,0,AH130,52
3054,46,1,AH140,35
7126,140,1,AH140,5
10935,291,1,AH140,38
14036,689,1,AH140,6
3053,46,1,AH160,34
7125,140,1,AH160,4
10934,291,1,AH160,37
14035,689,1,AH160,5
2986,46,0,AH170,20
14026,689,0,AH170,53
3052,46,1,AH180,33
7124,140,1,AH180,3
10933,291,1,AH180,36
14034,689,1,AH180,4
2987,46,0,AH190,21
14027,689,0,AH190,54
2909,44,1,AH220,16
10918,291,1,AH220,21
14024,689,0,AH220,51
2879,44,0,AH230,26
10877,291,0,AH230,14
14037,689,1,AH230,7
2880,44,0,AH240,27
10878,291,0,AH240,15
14038,689,1,AH240,8
2908,44,1,AH250,15
10917,291,1,AH250,20
14023,689,0,AH250,50
2881,44,0,AH260,28
10879,291,0,AH260,16
14039,689,1,AH260,9
2907,44,1,AH270,14
10916,291,1,AH270,19
14022,689,0,AH270,49
2882,44,0,AH280,29
10880,291,0,AH280,17
14040,689,1,AH280,10
2906,44,1,AH290,13
10915,291,1,AH290,18
14021,689,0,AH290,48
2883,44,0,AH300,30
10881,291,0,AH300,18
14041,689,1,AH300,11
2905,44,1,AH310,12
10914,291,1,AH310,17
14020,689,0,AH310,47
2884,44,0,AH320,31
10882,291,0,AH320,19
14042,689,1,AH320,12
2904,44,1,AH330,11
10913,291,1,AH330,16
14019,689,0,AH330,46
2885,44,0,AH340,32
10883,291,0,AH340,20
14043,689,1,AH340,13
2903,44,1,AH350,10
10912,291,1,AH350,15
14018,689,0,AH350,45
2886,44,0,AH360,33
10884,291,0,AH360,21
14044,689,1,AH360,14
2875,44,0,AH470,22
2981,46,0,AH470,15
6033,90,1,AH470,54
6093,92,1,AH470,5
10873,291,0,AH470,10
14015,689,0,AH470,42
2914,44,1,AH480,21
3059,46,1,AH480,40
5977,90,0,AH480,61
6078,92,0,AH480,39
7130,140,1,AH480,9
10923,291,1,AH480,26
14047,689,1,AH480,17
2876,44,0,AH490,23
2982,46,0,AH490,16
6034,90,1,AH490,55
6094,92,1,AH490,6
10874,291,0,AH490,11
14016,689,0,AH490,43
2913,44,1,AH500,20
3058,46,1,AH500,39
5976,90,0,AH500,60
6077,92,0,AH500,38
7129,140,1,AH500,8
10922,291,1,AH500,25
14046,689,1,AH500,16
2912,44,1,AH510,19
3057,46,1,AH510,38
5975,90,0,AH510,59
6076,92,0,AH510,37
10921,291,1,AH510,24
14045,689,1,AH510,15
3219,48,1,AI010,25
3218,48,1,AI030,24
3171,48,0,AI040,14
3217,48,1,AI050,23
3172,48,0,AI060,15
3216,48,1,AI070,22
3173,48,0,AI080,16
3215,48,1,AI090,21
3174,48,0,AI100,17
3214,48,1,AI110,20
3175,48,0,AI120,18
3213,48,1,AI140,19
3176,48,0,AI150,19
3212,48,1,AI160,18
3211,48,1,AI170,17
3177,48,0,AI180,20
3210,48,1,AI190,16
